"ParID_Ryan","Wrap_Ryan","Clipped_Ryan","Ringing_Ryan","Ghosting_Ryan","Blurriness_Ryan","ParID_Jane","Wrap_Jane","Clipped_Jane","Ringing_Jane","Ghosting_Jane","Blurriness_Jane"
"cceb_JJM26_food",0,0,2,0,2,"cceb_JJM26_food",0,0,2,1,2
"cceb_JJM26_toy",0,0,2,1,2,"cceb_JJM26_toy",0,0,2,1,3
"cceb_JTJ21_food",0,0,3,1,3,"cceb_JTJ21_food",0,0,3,1,2
"cceb_JTJ21_toy",0,0,5,3,4,"cceb_JTJ21_toy",0,0,5,2,4
"cceb_KAS25_food",0,0,4,1,2,"cceb_KAS25_food",0,0,4,2,2
"cceb_KAS25_toy",0,0,4,3,3,"cceb_KAS25_toy",0,0,4,3,3
"cceb_LGC01_food",0,0,2,2,4,"cceb_LGC01_food",0,0,2,2,3
"cceb_LGC01_toy",0,0,3,1,2,"cceb_LGC01_toy",0,0,3,1,2
"cceb_LPF06_food",0,0,2,1,2,"cceb_LPF06_food",0,0,1,1,2
"cceb_LPF06_toy",0,0,4,1,2,"cceb_LPF06_toy",0,0,3,1,3
"cceb_LRH27_food",0,0,3,2,3,"cceb_LRH27_food",0,0,3,1,2
"cceb_LRH27_toy",0,0,4,3,4,"cceb_LRH27_toy",0,0,5,3,3
"cceb_MCC07_food",0,0,2,2,5,"cceb_MCC07_food",0,0,2,3,5
"cceb_MCC07_toy",0,0,4,1,3,"cceb_MCC07_toy",0,0,5,2,3
"cceb_MEL22_food",0,0,2,1,2,"cceb_MEL22_food",0,0,2,1,3
"cceb_MEL22_toy",0,0,2,2,2,"cceb_MEL22_toy",0,0,3,2,2
"cceb_MVR04_food",0,0,2,1,3,"cceb_MVR04_food",0,0,3,1,2
"cceb_MVR04_toy",0,0,3,1,3,"cceb_MVR04_toy",0,0,4,1,3
"cceb_PMT02_food",0,0,2,1,3,"cceb_PMT02_food",0,0,3,1,3
"cceb_PMT02_toy",0,0,1,1,3,"cceb_PMT02_toy",0,0,1,1,3
"cceb_RP21_food",0,0,3,1,3,"cceb_RP21_food",0,0,3,1,2
"cceb_RP21_toy",0,0,2,1,3,"cceb_RP21_toy",0,0,2,1,2
"cceb_SB16_food",0,0,2,2,2,"cceb_SB16_food",0,0,2,2,3
"cceb_SB16_toy",0,0,3,2,3,"cceb_SB16_toy",0,0,4,2,3
"cceb_SGD09_food",0,0,1,1,2,"cceb_SGD09_food",0,0,1,2,2
"cceb_SGD09_toy",0,0,2,1,2,"cceb_SGD09_toy",0,0,1,1,2
"cceb_SJN24_food",0,0,1,0,2,"cceb_SJN24_food",0,0,1,1,2
"cceb_SJN24_toy",0,0,1,1,2,"cceb_SJN24_toy",0,0,1,1,2
"cceb_TCT06_food",0,0,4,1,3,"cceb_TCT06_food",0,0,5,1,3
"cceb_TCT06_toy",0,0,3,2,3,"cceb_TCT06_toy",0,0,4,1,3
"cceb_TDC01_food",0,0,3,1,3,"cceb_TDC01_food",0,0,3,2,3
"cceb_TDC01_toy",0,0,3,2,2,"cceb_TDC01_toy",0,0,3,2,2
"cceb_ZJC01_food",0,0,2,3,4,"cceb_ZJC01_food",0,0,3,3,4
"cceb_ZJC01_toy",0,0,2,3,4,"cceb_ZJC01_toy",0,0,2,4,4
"dmk_101",0,0,1,1,1,"dmk_101",0,0,2,1,2
"dmk_102",0,0,1,1,1,"dmk_102",0,0,1,1,1
"dmk_103",0,0,2,0,1,"dmk_103",0,0,1,1,1
"dmk_104",0,0,3,1,2,"dmk_104",0,0,3,1,2
