parID,atlas,version,ids,region,vgm,vwm
brand_11,cobra,1450,23,"lAntCerebWM",0.445305990408904,6.86291748514802
brand_11,cobra,1450,26,"lAmy",1.73785513707536,0.0357139065197989
brand_11,cobra,1450,31,"lHCA1",1.051831220294,0.195624039080125
brand_11,cobra,1450,32,"lSub",0.512741206492065,0.0801077172912337
brand_11,cobra,1450,33,"lFor",0.378853852865272,0.447566128268789
brand_11,cobra,1450,34,"lCA4",0.75797490473371,0.0124465459707189
brand_11,cobra,1450,35,"lCA2_3",0.23325042729266,0.00216856643813662
brand_11,cobra,1450,36,"lStratum,Left Stratum Radiatum/Lacunosum/Moleculare",0.565390429266146,0.00225058266567066
brand_11,cobra,1450,37,"lFimbra",0.125353552302469,0.0838755261228071
brand_11,cobra,1450,38,"lMamBody",0.0430187207858544,0.0307319649162237
brand_11,cobra,1450,39,"lAlveus",0.458519332627509,0.0117029595081215
brand_11,cobra,1450,101,"rStriatum",9.47705771645206,1.92692030149514
brand_11,cobra,1450,102,"rGloPal",0.257905384163969,1.46978122897213
brand_11,cobra,1450,103,"rTha",5.57339249514795,1.73609198389763
brand_11,cobra,1450,111,"rAntCerebLI_II",0.127714911067946,0.0141370204497543
brand_11,cobra,1450,112,"rAntCerebLIII",0.690894608286706,0.209600063693462
brand_11,cobra,1450,113,"rAntCerebLIV",1.45388826836806,0.394176200564229
brand_11,cobra,1450,114,"rAntCerebLV",3.88454073801889,0.720702031445814
brand_11,cobra,1450,115,"rSupPostCerebLVI",8.37564576259349,1.17875697511891
brand_11,cobra,1450,116,"rSupPostCerebCI",10.0988450054353,2.25463110832438
brand_11,cobra,1450,117,"rSupPostCerebCII",7.12545922752404,1.02675664846635
brand_11,cobra,1450,118,"rSupPostCerebLVIIB",4.43558560901781,0.551620262228514
brand_11,cobra,1450,119,"rInfPostCerebLVIIIA",4.14753498739357,0.593517255550277
brand_11,cobra,1450,120,"rInfPostCerebLVIIIB",2.64692838205276,0.580560152177727
brand_11,cobra,1450,121,"rInfPostCerebLIX",2.38093153525093,0.520805390255453
brand_11,cobra,1450,122,"rInfPostCerebLX",0.553495313109776,0.0931096344386751
brand_11,cobra,1450,123,"rAntCerebWM",0.520840233646794,7.09561676849971
brand_11,cobra,1450,126,"rAmy",1.73601955163732,0.0294586403405065
brand_11,cobra,1450,131,"rHCA1",1.03469258649139,0.18092215419579
brand_11,cobra,1450,132,"rSub",0.535921654045815,0.102670598005396
brand_11,cobra,1450,133,"rFor",0.385503356808389,0.416634399198592
brand_11,cobra,1450,134,"rCA4",0.702179648267804,0.0145011379104108
brand_11,cobra,1450,135,"rCA2_3",0.22938942662999,0.00705561392055824
brand_11,cobra,1450,136,"rStratum,Right Stratum Radiatum/Lacunosum/Moleculare",0.546505306006729,0.00161730749654816
brand_11,cobra,1450,137,"rFimbra",0.117361073020147,0.0582541748136282
brand_11,cobra,1450,138,"rMamBody",0.0478280316327073,0.0255564561173446
brand_11,cobra,1450,139,"rAlveus",0.431626589479565,0.0326738759538857
brand_12,cobra,1450,1,"lStriatum",12.006472552367,2.26169370562396
brand_12,cobra,1450,2,"lGloPal",0.34477910610766,1.79282558292853
brand_12,cobra,1450,3,"lTha",6.01289698537583,2.12909681710354
brand_12,cobra,1450,11,"lAntCerebLI_II",0.095570593923796,0.00882350021635648
brand_12,cobra,1450,12,"lAntCerebLIII",0.895081437116009,0.157191140917197
brand_12,cobra,1450,13,"lAntCerebLIV",2.2664130475375,0.455153915121065
brand_12,cobra,1450,14,"lAntCerebLV",4.16938509156717,0.510922119291011
brand_12,cobra,1450,15,"lSupPostCerebLVI",8.31300181118537,0.814242597459881
brand_12,cobra,1450,16,"lSupPostCerebCI",12.9946629952721,2.41250136162828
brand_12,cobra,1450,17,"lSupPostCerebCII",7.66313079027854,1.2260272705806
brand_12,cobra,1450,18,"lSupPostCerebLVIIB",4.06844836127694,0.583152623163704
brand_12,cobra,1450,19,"lInfPostCerebLVIIIA",5.65022041365508,1.03446577299253
brand_12,cobra,1450,20,"lInfPostCerebLVIIIB",3.03955522104003,0.882419138235926
brand_12,cobra,1450,21,"lInfPostCerebLIX",2.84730165508733,0.969527897861293
brand_12,cobra,1450,22,"lInfPostCerebLX",0.546942644765542,0.168036275484225
brand_12,cobra,1450,23,"lAntCerebWM",0.498867791887791,8.10741268143758
brand_12,cobra,1450,26,"lAmy",1.92929818097054,0.0484500337146455
brand_12,cobra,1450,31,"lHCA1",1.13738042974631,0.219823945142063
brand_12,cobra,1450,32,"lSub",0.539004345911992,0.100466066820076
